"tau","delta"
12,5
24,5
36,5
48,5
60,5
72,5
84,5
96,5
108,5
120,5
132,5
144,5
156,5
168,5
180,5
192,5
204,5
12,10
24,10
36,10
48,10
60,10
72,10
84,10
96,10
108,10
120,10
132,10
144,10
156,10
168,10
180,10
192,10
204,10
12,15
24,15
36,15
48,15
60,15
72,15
84,15
96,15
108,15
120,15
132,15
144,15
156,15
168,15
180,15
192,15
204,15
12,20
24,20
36,20
48,20
60,20
72,20
84,20
96,20
108,20
120,20
132,20
144,20
156,20
168,20
180,20
192,20
204,20
12,25
24,25
36,25
48,25
60,25
72,25
84,25
96,25
108,25
120,25
132,25
144,25
156,25
168,25
180,25
192,25
204,25
12,30
24,30
36,30
48,30
60,30
72,30
84,30
96,30
108,30
120,30
132,30
144,30
156,30
168,30
180,30
192,30
204,30
12,35
24,35
36,35
48,35
60,35
72,35
84,35
96,35
108,35
120,35
132,35
144,35
156,35
168,35
180,35
192,35
204,35
12,40
24,40
36,40
48,40
60,40
72,40
84,40
96,40
108,40
120,40
132,40
144,40
156,40
168,40
180,40
192,40
204,40
12,45
24,45
36,45
48,45
60,45
72,45
84,45
96,45
108,45
120,45
132,45
144,45
156,45
168,45
180,45
192,45
204,45
12,50
24,50
36,50
48,50
60,50
72,50
84,50
96,50
108,50
120,50
132,50
144,50
156,50
168,50
180,50
192,50
204,50
12,55
24,55
36,55
48,55
60,55
72,55
84,55
96,55
108,55
120,55
132,55
144,55
156,55
168,55
180,55
192,55
204,55
12,60
24,60
36,60
48,60
60,60
72,60
84,60
96,60
108,60
120,60
132,60
144,60
156,60
168,60
180,60
192,60
204,60
12,65
24,65
36,65
48,65
60,65
72,65
84,65
96,65
108,65
120,65
132,65
144,65
156,65
168,65
180,65
192,65
204,65
12,70
24,70
36,70
48,70
60,70
72,70
84,70
96,70
108,70
120,70
132,70
144,70
156,70
168,70
180,70
192,70
204,70
12,75
24,75
36,75
48,75
60,75
72,75
84,75
96,75
108,75
120,75
132,75
144,75
156,75
168,75
180,75
192,75
204,75
12,80
24,80
36,80
48,80
60,80
72,80
84,80
96,80
108,80
120,80
132,80
144,80
156,80
168,80
180,80
192,80
204,80
12,85
24,85
36,85
48,85
60,85
72,85
84,85
96,85
108,85
120,85
132,85
144,85
156,85
168,85
180,85
192,85
204,85
12,90
24,90
36,90
48,90
60,90
72,90
84,90
96,90
108,90
120,90
132,90
144,90
156,90
168,90
180,90
192,90
204,90
12,95
24,95
36,95
48,95
60,95
72,95
84,95
96,95
108,95
120,95
132,95
144,95
156,95
168,95
180,95
192,95
204,95
12,100
24,100
36,100
48,100
60,100
72,100
84,100
96,100
108,100
120,100
132,100
144,100
156,100
168,100
180,100
192,100
204,100
