"response","time","response.1.titer"
1,0,0
1,1,1000
1,1.5,816.496580927726
1,2,707.106781186548
1,2.5,632.455532033676
1,3,577.350269189626
1,3.5,534.522483824849
1,4,500
1,4.5,471.404520791032
1,5,447.213595499958
1,5.5,426.401432711221
1,6,408.248290463863
1,6.5,392.232270276368
1,7,377.964473009227
1,7.5,365.148371670111
1,8,353.553390593274
1,8.5,342.997170285018
1,9,333.333333333333
1,9.5,324.442842261525
1,10,316.227766016838
1,10.5,308.606699924184
1,11,301.511344577764
1,11.5,294.883912309794
1,12,288.675134594813
1,12.5,282.842712474619
1,13,277.350098112615
1,13.5,272.165526975909
1,14,267.261241912424
1,14.5,262.612865719445
1,15,258.198889747161
1,15.5,254.000254000381
1,16,250
1,16.5,246.182981958665
1,17,242.535625036333
1,17.5,239.045721866879
1,18,235.702260395516
1,18.5,232.495277487639
1,19,229.415733870562
1,19.5,226.455406828919
1,20,223.606797749979
1,20.5,220.863052149693
1,21,218.217890235992
1,21.5,215.665546406877
1,22,213.20071635561
1,22.5,210.818510677892
1,23,208.514414057075
1,23.5,206.284249251759
1,24,204.124145231932
1,24.5,202.030508910442
1,25,200
1,25.5,198.029508595335
1,26,196.116135138184
1,26.5,194.257172471453
1,27,192.450089729875
1,27.5,190.692517849118
1,28,188.982236504614
1,28.5,187.317162316339
1,29,185.695338177052
1,29.5,184.114923579665
1,30,182.574185835055
1,30.5,181.071492085037
1,31,179.605302026775
1,31.5,178.17416127495
1,32,176.776695296637
1,32.5,175.411603861406
1,33,174.077655955698
1,33.5,172.773685116272
1,34,171.498585142509
1,34.5,170.25130615175
1,35,169.030850945703
1,35.5,167.836271659338
1,36,166.666666666667
1,36.5,165.521177720474
1,37,164.398987305357
1,37.5,163.299316185545
1,38,162.221421130763
1,38.5,161.164592805076
1,39,160.128153805087
1,39.5,159.111456835146
1,40,158.113883008419
1,40.5,157.134840263677
1,41,156.173761888606
1,41.5,155.230105141267
1,42,154.303349962092
1,42.5,153.392997769474
1,43,152.498570332605
1,43.5,151.619608715781
1,44,150.755672288882
1,44.5,149.906337799172
1,45,149.071198499986
1,45.5,148.24986333222
1,46,147.441956154897
1,46.5,146.647115021353
1,47,145.864991497895
1,47.5,145.095250022002
1,48,144.337567297406
1,48.5,143.591631723548
1,49,142.857142857143
1,49.5,142.13381090374
1,50,141.42135623731
1,50.5,140.719508946058
1,51,140.028008402801
1,51.5,139.346602858324
1,52,138.675049056307
1,52.5,138.013111868471
1,53,137.360563948689
1,53.5,136.717185404933
1,54,136.082763487954
1,54.5,135.457092295719
1,55,134.839972492648
1,55.5,134.231211042805
1,56,133.630620956212
1,56.5,133.038021047548
1,57,132.453235706504
1,57.5,131.876094679157
1,58,131.306432859723
1,58.5,130.744090092123
1,59,130.188910980824
1,59.5,129.640744710433
1,60,129.099444873581
1,60.5,128.564869306645
1,61,128.036879932896
1,61.5,127.515342612668
1,62,127.00012700019
1,62.5,126.491106406735
1,63,125.988157669742
1,63.5,125.491161027632
1,64,125
1,64.5,124.514561272938
1,65,124.034734589208
1,65.5,123.560412643043
1,66,123.091490979333
1,66.5,122.627867896993
1,67,122.169444356305
1,67.5,121.716123890037
1,68,121.267812518166
1,68.5,120.824418666035
1,69,120.385853085769
1,69.5,119.952028780813
1,70,119.522860933439
1,70.5,119.098266835083
1,71,118.678165819385
1,71.5,118.262479197817
1,72,117.851130197758
1,72.5,117.444043902941
1,73,117.041147196131
1,73.5,116.642368703961
1,74,116.247638743819
1,74.5,115.856889272698
1,75,115.470053837925
1,75.5,115.087067529687
1,76,114.707866935281
1,76.5,114.332390095006
1,77,113.960576459638
1,77.5,113.592366849413
1,78,113.22770341446
1,78.5,112.86652959662
1,79,112.508790092602
1,79.5,112.154430818409
1,80,111.803398874989
1,80.5,111.455642515071
1,81,111.111111111111
1,81.5,110.769755124342
1,82,110.431526074847
1,82.5,110.096376512636
1,83,109.76425998969
1,83.5,109.435131032917
1,84,109.108945117996
1,84.5,108.785658644084
1,85,108.465228909328
1,85.5,108.147614087175
1,86,107.832773203438
1,86.5,107.520666114094
1,87,107.211253483779
1,87.5,106.90449676497
1,88,106.600358177805
1,88.5,106.298800690547
1,89,105.999788000636
1,89.5,105.703284516338
1,90,105.409255338946
1,90.5,105.117666245527
1,91,104.828483672192
1,91.5,104.541674697863
1,92,104.257207028537
1,92.5,103.975048982007
1,93,103.695169473043
1,93.5,103.417537999004
1,94,103.142124625879
1,94.5,102.868899974728
1,95,102.597835208515
1,95.5,102.32890201933
1,96,102.062072615966
1,96.5,101.797319711858
1,97,101.534616513362
1,97.5,101.273936708367
1,98,101.015254455221
1,98.5,100.758544371976
1,99,100.503781525921
1,99.5,100.250941423417
1,100,100
1,100.5,99.7509336107633
1,101,99.5037190209989
1,101.5,99.258333397093
1,102,99.0147542976674
1,102.5,98.772959664959
1,103,98.5329278164293
1,103.5,98.2946374365981
1,104,98.058067569092
1,104.5,97.8231976089037
1,105,97.5900072948533
1,105.5,97.3584767022471
1,106,97.1285862357264
1,106.5,96.9003166223018
1,107,96.6736489045663
1,107.5,96.4485644340824
1,108,96.2250448649376
1,108.5,96.0030721474639
1,109,95.7826285221151
1,109.5,95.5636965134993
1,110,95.3462589245592
1,110.5,95.1302988308988
1,111,94.9157995752499
1,111.5,94.7027447620757
1,112,94.4911182523068
1,112.5,94.2809041582063
1,113,94.0720868383597
1,113.5,93.8646508927864
1,114,93.6585811581694
1,114.5,93.4538627031995
1,115,93.2504808240314
1,115.5,93.0484210398471
1,116,92.8476690885259
1,116.5,92.6482109224159
1,117,92.4500327042048
1,117.5,92.2531208028885
1,118,92.0574617898323
1,118.5,91.8630424349251
1,119,91.6698497028211
1,119.5,91.4778707492697
1,120,91.2870929175277
1,120.5,91.0975037348554
1,121,90.9090909090909
1,121.5,90.7218423253029
1,122,90.5357460425185
1,122.5,90.3507902905251
1,123,90.1669634667432
1,123.5,89.9842541331695
1,124,89.8026510133875
1,124.5,89.6221429896442
1,125,89.4427190999916
1,125.5,89.2643685354904
1,126,89.0870806374748
1,126.5,88.9108448948774
1,127,88.7356509416114
1,127.5,88.5614885540095
1,128,88.3883476483184
1,128.5,88.2162182782462
1,129,88.0450906325624
1,129.5,87.8749550327494
1,130,87.7058019307029
1,130.5,87.5376219064817
1,131,87.3704056661038
1,131.5,87.2041440393895
1,132,87.0388279778489
1,132.5,86.8744485526139
1,133,86.710996952412
1,133.5,86.5484644815831
1,134,86.386842558136
1,134.5,86.2261227118454
1,135,86.066296582387
1,135.5,85.9073559175116
1,136,85.7492925712544
1,136.5,85.5920985021826
1,137,85.4357657716761
1,137.5,85.2802865422442
1,138,85.1256530758749
1,138.5,84.9718577324175
1,139,84.8188929679971
1,139.5,84.6667513334603
1,140,84.5154254728516
1,140.5,84.3649081219196
1,141,84.2151921066519
1,141.5,84.0662703418397
1,142,83.9181358296689
1,142.5,83.7707816583391
1,143,83.6242010007091
1,143.5,83.4783871129682
1,144,83.3333333333333
1,144.5,83.1890330807703
1,145,83.04547985374
1,145.5,82.9026672289678
1,146,82.7605888602368
1,146.5,82.6192384772028
1,147,82.4786098842323
1,147.5,82.3386969592618
1,148,82.1994936526786
1,148.5,82.0609939862218
1,149,81.923192051904
1,149.5,81.7860820109531
1,150,81.6496580927726
1,150.5,81.5139145939222
1,151,81.3788458771159
1,151.5,81.2444463702387
1,152,81.1107105653813
1,152.5,80.9776330178916
1,153,80.8452083454443
1,153.5,80.7134312271262
1,154,80.582296402538
1,154.5,80.451798670913
1,155,80.3219328902499
1,155.5,80.1926939764626
1,156,80.0640769025436
1,156.5,79.9360766977431
1,157,79.8086884467622
1,157.5,79.6819072889596
1,158,79.555728417573
1,158.5,79.4301470789538
1,159,79.3051585718144
1,159.5,79.1807582464896
1,160,79.0569415042095
1,160.5,78.9337037963858
1,161,78.8110406239101
1,161.5,78.6889475364634
1,162,78.5674201318386
1,162.5,78.4464540552736
1,163,78.3260449987957
1,163.5,78.2061887005775
1,164,78.086880944303
1,164.5,77.968117558545
1,165,77.8498944161523
1,165.5,77.7322074336472
1,166,77.6150525706333
1,166.5,77.4984258292128
1,167,77.3823232534137
1,167.5,77.2667409286256
1,168,77.151674981046
1,168.5,77.0371215771345
1,169,76.9230769230769
1,169.5,76.8095372642568
1,170,76.696498884737
1,170.5,76.5839581067484
1,171,76.4719112901873
1,171.5,76.3603548321212
1,172,76.2492851663023
1,172.5,76.1386987626881
1,173,76.0285921269706
1,173.5,75.9189618001123
1,174,75.8098043578903
1,174.5,75.7011164104465
1,175,75.5928946018454
1,175.5,75.4851356096397
1,176,75.3778361444409
1,176.5,75.2709929494981
1,177,75.1646028002829
1,177.5,75.0586625040801
1,178,74.9531688995861
1,178.5,74.848118856512
1,179,74.7435092751936
1,179.5,74.6393370862076
1,180,74.535599249993
1,180.5,74.4322927564787
1,181,74.3294146247166
1,181.5,74.2269619025206
1,182,74.1249316661101
1,182.5,74.0233210197605
1,183,73.9221270954573
1,183.5,73.8213470525562
1,184,73.7209780774486
1,184.5,73.621017383231
1,185,73.5214622093808
1,185.5,73.4223098214352
1,186,73.3235575106767
1,186.5,73.2252025938213
1,187,73.1272424127131
1,187.5,73.0296743340221
1,188,72.9324957489473
1,188.5,72.835704072923
1,189,72.7392967453308
1,189.5,72.6432712292148
1,190,72.5476250110012
1,190.5,72.4523556002218
1,191,72.3574605292422
1,191.5,72.2629373529924
1,192,72.1687836487032
1,192.5,72.0749970156447
1,193,71.9815750748695
1,193.5,71.8885154689589
1,194,71.7958158617738
1,194.5,71.7034739382075
1,195,71.6114874039433
1,195.5,71.5198539852151
1,196,71.4285714285714
1,196.5,71.3376375006422
1,197,71.2470499879096
1,197.5,71.156806696482
1,198,71.0669054518701
1,198.5,70.9773440987676
1,199,70.8881205008336
1,199.5,70.7992325404789
1,200,70.7106781186548
1,200.5,70.6224551546449
1,201,70.5345615858598
1,201.5,70.4469953676347
1,202,70.3597544730292
1,202.5,70.2728368926307
1,203,70.1862406343596
1,203.5,70.0999637232782
1,204,70.0140042014005
1,204.5,69.9283601275066
1,205,69.8430295769578
1,205.5,69.7580106415156
1,206,69.6733014291618
1,206.5,69.5889000639221
1,207,69.5048046856916
1,207.5,69.4210134500623
1,208,69.3375245281536
1,208.5,69.2543361064444
1,209,69.1714463866075
1,209.5,69.0888535853467
1,210,69.0065559342354
1,210.5,68.9245516795578
1,211,68.8428390821514
1,211.5,68.7614164172529
1,212,68.6802819743445
1,212.5,68.5994340570035
1,213,68.5188709827532
1,213.5,68.4385910829155
1,214,68.3585927024663
1,214.5,68.2788741998919
1,215,68.1994339470474
1,215.5,68.1202703290172
1,216,68.0413817439772
1,216.5,67.9627666030585
1,217,67.8844233302131
1,217.5,67.806350362081
1,218,67.7285461478596
1,218.5,67.6510091491738
1,219,67.5737378399486
1,219.5,67.4967307062827
1,220,67.4199862463242
1,220.5,67.3435029701474
1,221,67.2672793996312
1,221.5,67.1913140683396
1,222,67.1156055214024
1,222.5,67.0401523153991
1,223,66.9649530182425
1,223.5,66.8900062090651
1,224,66.8153104781061
1,224.5,66.7408644266
1,225,66.6666666666667
1,225.5,66.5927158212027
1,226,66.5190105237739
1,226.5,66.4455494185095
1,227,66.3723311599972
1,227.5,66.2993544131796
1,228,66.2266178532522
1,228.5,66.1541201655623
1,229,66.081860045509
1,229.5,66.009836198445
1,230,65.9380473395787
1,230.5,65.8664921938784
1,231,65.7951694959769
1,231.5,65.7240779900775
1,232,65.6532164298613
1,232.5,65.5825835783953
1,233,65.5121782080418
1,233.5,65.4419991003688
1,234,65.3720450460613
1,234.5,65.3023148448339
1,235,65.2328073053442
1,235.5,65.1635212451075
1,236,65.0944554904119
1,236.5,65.0256088762355
1,237,64.9569802461631
1,237.5,64.888568452305
1,238,64.8203723552164
1,238.5,64.7523908238176
1,239,64.6846227353151
1,239.5,64.6170669751238
1,240,64.5497224367903
