"tau","delta"
12,2
24,2
36,2
48,2
60,2
72,2
84,2
96,2
108,2
120,2
132,2
144,2
156,2
168,2
180,2
192,2
204,2
12,2.5
24,2.5
36,2.5
48,2.5
60,2.5
72,2.5
84,2.5
96,2.5
108,2.5
120,2.5
132,2.5
144,2.5
156,2.5
168,2.5
180,2.5
192,2.5
204,2.5
12,3
24,3
36,3
48,3
60,3
72,3
84,3
96,3
108,3
120,3
132,3
144,3
156,3
168,3
180,3
192,3
204,3
12,3.5
24,3.5
36,3.5
48,3.5
60,3.5
72,3.5
84,3.5
96,3.5
108,3.5
120,3.5
132,3.5
144,3.5
156,3.5
168,3.5
180,3.5
192,3.5
204,3.5
12,4
24,4
36,4
48,4
60,4
72,4
84,4
96,4
108,4
120,4
132,4
144,4
156,4
168,4
180,4
192,4
204,4
12,4.5
24,4.5
36,4.5
48,4.5
60,4.5
72,4.5
84,4.5
96,4.5
108,4.5
120,4.5
132,4.5
144,4.5
156,4.5
168,4.5
180,4.5
192,4.5
204,4.5
12,5
24,5
36,5
48,5
60,5
72,5
84,5
96,5
108,5
120,5
132,5
144,5
156,5
168,5
180,5
192,5
204,5
12,5.5
24,5.5
36,5.5
48,5.5
60,5.5
72,5.5
84,5.5
96,5.5
108,5.5
120,5.5
132,5.5
144,5.5
156,5.5
168,5.5
180,5.5
192,5.5
204,5.5
12,6
24,6
36,6
48,6
60,6
72,6
84,6
96,6
108,6
120,6
132,6
144,6
156,6
168,6
180,6
192,6
204,6
