"response","time","response.1.titer"
1,0,0
1,1,1e+05
1,1.5,81649.6580927726
1,2,70710.6781186548
1,2.5,63245.5532033676
1,3,57735.0269189626
1,3.5,53452.2483824849
1,4,50000
1,4.5,47140.4520791032
1,5,44721.3595499958
1,5.5,42640.1432711221
1,6,40824.8290463863
1,6.5,39223.2270276368
1,7,37796.4473009227
1,7.5,36514.8371670111
1,8,35355.3390593274
1,8.5,34299.7170285018
1,9,33333.3333333333
1,9.5,32444.2842261525
1,10,31622.7766016838
1,10.5,30860.6699924184
1,11,30151.1344577764
1,11.5,29488.3912309794
1,12,28867.5134594813
1,12.5,28284.2712474619
1,13,27735.0098112615
1,13.5,27216.5526975909
1,14,26726.1241912424
1,14.5,26261.2865719445
1,15,25819.8889747161
1,15.5,25400.0254000381
1,16,25000
1,16.5,24618.2981958665
1,17,24253.5625036333
1,17.5,23904.5721866879
1,18,23570.2260395516
1,18.5,23249.5277487639
1,19,22941.5733870562
1,19.5,22645.5406828919
1,20,22360.6797749979
1,20.5,22086.3052149693
1,21,21821.7890235992
1,21.5,21566.5546406877
1,22,21320.071635561
1,22.5,21081.8510677892
1,23,20851.4414057075
1,23.5,20628.4249251759
1,24,20412.4145231932
1,24.5,20203.0508910442
1,25,20000
1,25.5,19802.9508595335
1,26,19611.6135138184
1,26.5,19425.7172471453
1,27,19245.0089729875
1,27.5,19069.2517849118
1,28,18898.2236504614
1,28.5,18731.7162316339
1,29,18569.5338177052
1,29.5,18411.4923579665
1,30,18257.4185835055
1,30.5,18107.1492085037
1,31,17960.5302026775
1,31.5,17817.416127495
1,32,17677.6695296637
1,32.5,17541.1603861406
1,33,17407.7655955698
1,33.5,17277.3685116272
1,34,17149.8585142509
1,34.5,17025.130615175
1,35,16903.0850945703
1,35.5,16783.6271659338
1,36,16666.6666666667
1,36.5,16552.1177720474
1,37,16439.8987305357
1,37.5,16329.9316185545
1,38,16222.1421130763
1,38.5,16116.4592805076
1,39,16012.8153805087
1,39.5,15911.1456835146
1,40,15811.3883008419
1,40.5,15713.4840263677
1,41,15617.3761888606
1,41.5,15523.0105141267
1,42,15430.3349962092
1,42.5,15339.2997769474
1,43,15249.8570332605
1,43.5,15161.9608715781
1,44,15075.5672288882
1,44.5,14990.6337799172
1,45,14907.1198499986
1,45.5,14824.986333222
1,46,14744.1956154897
1,46.5,14664.7115021353
1,47,14586.4991497895
1,47.5,14509.5250022002
1,48,14433.7567297406
1,48.5,14359.1631723548
1,49,14285.7142857143
1,49.5,14213.381090374
1,50,14142.135623731
1,50.5,14071.9508946058
1,51,14002.8008402801
1,51.5,13934.6602858324
1,52,13867.5049056307
1,52.5,13801.3111868471
1,53,13736.0563948689
1,53.5,13671.7185404933
1,54,13608.2763487954
1,54.5,13545.7092295719
1,55,13483.9972492648
1,55.5,13423.1211042805
1,56,13363.0620956212
1,56.5,13303.8021047548
1,57,13245.3235706504
1,57.5,13187.6094679157
1,58,13130.6432859723
1,58.5,13074.4090092123
1,59,13018.8910980824
1,59.5,12964.0744710433
1,60,12909.9444873581
1,60.5,12856.4869306645
1,61,12803.6879932896
1,61.5,12751.5342612668
1,62,12700.012700019
1,62.5,12649.1106406735
1,63,12598.8157669742
1,63.5,12549.1161027632
1,64,12500
1,64.5,12451.4561272938
1,65,12403.4734589208
1,65.5,12356.0412643043
1,66,12309.1490979333
1,66.5,12262.7867896993
1,67,12216.9444356305
1,67.5,12171.6123890037
1,68,12126.7812518166
1,68.5,12082.4418666035
1,69,12038.5853085769
1,69.5,11995.2028780813
